Объект;Адрес;Местонахождение и Описание;№ Акта;Дата;№ Акта;Дата;ЗиП;Примечание;;;;;;;;;;;;;;;;;;
Корпус ресторанов;32.2.115;Подвал. РМ-1 в ТП - 32.2.115 Неназванный-1 - как так-то, совсем не названный?! )) для чего он?;;23.08.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус Бассейнов;;"верхний подвал бассейнов, возле ИПР 32.1.60, зону ПО 20017.0102 - обозвать ""вент. камера, верхний подвал бассейнов""";;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус Бассейнов;32.1.157;верхний подвал бассейнов, убрать из конфигурации и визуализации ИЗ-1 32.1.157;;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус Бассейнов;32.1.161;ИЗ 32.1.161 перенести в визуализации с Нижнего подвала в Верхний - поставить возле ИП-64 32.1.129;;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус Бассейнов;;ИЗ-1 добавить в конфигурацию, задать адрес и указать на визуализации в Верхнем подвале бассейнов - возле ИП 32.1.4;;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус Бассейнов;;Центр массажа - 3 ИП-64 заменили на 10 ИП-29: вместо 32.2.169 добавить 4 ИП-29 по квадрату внутри ригелей, вместо 32.2.181 аналогично добавить 4 ИП-29 по квадрату внутри ригелей, вместо 32.2.180 добавить 2 ИП-29 (3 ИП-64 убрать из конфигурации(32.2.169, 180, 181), 10 ИП-29 добавить и задать им адреса).;;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус Бассейнов;;"Зону ПО 3502 ""Бассейны Холл"" переименовать в ""Центр массажа, бассейн 1 эт"". В названии зон 3500 и 3524, в комментарий ""ИП:2"" добавить/заменить ""Площадка обслуживания"" на ""Центр массажа, служ помещение"".";;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус Бассейнов;;"Зону ПО 20015 ""Коридор Бассейны"" переименовать в ""Коридор, подвал под бассейном""";;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус Бассейнов;;"Зоны 20025-20026 ""Кабинет № ЦПТ"" переименовать в ""Каб №, теплопункт""";;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;"некорректно работают команды ""все датчики зоны"" зон ПО цоколя корпуса ресторанов";;;;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;Хрустальный: Зону ПО 30054 в районе ИП 31.2.110 разделить на 2 части 1:3, левую часть объединить с зоной ПО 30057 возле ИП 31.2.114 (этот кусочек - не коридор, а склад).;;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус Бассейнов;;ИЗ-1 дать адрес и указать между ИП64 32.1.24 и ИП64 32.1.23;;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус Бассейнов;;ИЗ-1 дать адрес и указать между ИП64 32.1.45 и 32.1.33;;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;цоколь ресторанов, имеет ли смысл разбивать зону ПО 40129 Служ пом возле Сферы (все разные помещения, разделенные проемами дверей), если сработка от 1 ИП ?;;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;"цоколь ресторанов, зону ПО 40127 (ИП 23.1.138 и 23.1.175) обозвать ""Склад униформы""";;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;"цоколь ресторанов, зону ПО 40129 обозвать ""коридор возле Сферы"" и разбить на зоны: 1- ИП 23.1.133 и 132, 2- ИП 23.1.122, 3- ИП 23.1.97, 81, 85 и 123, 4- 23.1.110, 111...119 оставляем как есть. Между ИП 23.1.85 и 86 построили стенку, и между 23.1.123 и 125 построили стенку, по линии коридора возле ИП 23.1.97 и 81. Поэтому ИП 23.1.86, 125, 129 и 131 выделяем в отдельную зону и обзываем ""Художественная мастерская"".";;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;31.2.170;Хрустальный: Добавить в конфигурацию ИП-64 с адресом 31.2.170 и отобразить его на углу между 31.2.110 и 31.2.114.;;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;"Ресторан Мраморный, кухня Свистка. ""Пересаживаем"" 16 извещатели с ветки 31.1. на ветку 15.1: 48-58 (кроме 31.1.57, его не трогаем!) переходят с теми же адресами. Остальные меняем 31.1.106=15.1.66, 107=67, 108=68, 109=69, 110=70, 135=15.1.65. Все ИП остаются на тех же местах. Туда же добавляем ИЗ-1 с адресом 15.1.45 и на визуализации ставим его в двух местах (так же можно?) возле ИПР 15.1.35 (СК 1эт Свисток) и между ИП 15(31).1.51 и 52 (ресторан Мраморный, кухня Свистка).";;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;31.2.51, 31.2.52;"в Хрустальном, ИП64 31.2.52(Запотолочный) перенести на визуализации на место ИП64 31.2.51. ИП64 31.2.51 из гардероба перенести в зону ПО 30069 - в угол между ИП 31.2.141 и 31.2.144. ИП 31.2.141 сдвинуть выше, на уровень 31.2.143 (чтобы 51, 141, 144 и 143 стояли по углам квадрата). Зоны ПО 30069 и 30068 объединить в одну (это одно помещение) и обозвать ""Кондитерский склад, рест Хрустальный"".";;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;ресторан Хрустальный, вместо 12 ИП-64 - 31.2.42, 49, 89, 91, 93, 102, 104, 108, 110, 169(ошибка, исправлено на 18), 197, 198 - на те же места ставим 12 ИП-29 с теми же адресами (или меняем тип с 64 на 29).;;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;ресторан Хрустальный, добавляем 9 ИП-29: возле ИПР 31.2.109, между 31.2.104 и 102, между 31.2.102 и 31.2.197, между 31.2.197 и 31.2.198, между 31.2.198 и 31.2.17(18), между 31.2.17 и 31.2.41, между 31.2.41 и 31.2.48, рядом с 31.2.48, между 31.2.48 и РМ-4 31.2.168. Всем ИП-29 присвоить адрес.;;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;В зону 30077 (Хрустальный, гардероб) добавляем 2 ИП-29 - слева от 31.2.49(52) и справа (над РМ-4 31.2.166). Всем ИП-29 присвоить адрес.;;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;Зону ПО 40026 разделить на 4 части: 1- от ИП 22.2.11 по ИПР 22.2.57 включительно, 2- от ИЗ 22.2.55 ДО ИП 22.2.53 (защищает ИП 22.2.56), 3- комната, которую защищает ИП 22.2.53, 4- ИП 22.2.37 и 22.2.36 защищают одну общую зону (одна комната).;;;отмена;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;Хрустальный, добавляем 3 ИП-29: между 31.2.94 и 31.2.92, между 31.2.92 и 31.2.90, между 31.2.90 и 31.2.50. Всем ИП-29 присвоить адрес.;;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;"Изменить название зоны ПО 40017 ""Бильярд холл П"" на ""Хамам, подвал ресторанов"",  40020 ""Бильярд помП"" на ""Хамам, массажные кабинеты"". И остальные прилегающие зоны - заменить ""Бильярд"" на ""Хамам"". Всего 7 зон.";;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;"В названии закладки ""Ресторан Хруст 3 эт"" - изменить на ""Рест Санта-Барбара 3эт"". Зону ПО 40202 ""Холл Рест 3эт"" переименовать в ""Рест Санта-Барбара, служ помещение"". Зону 30071 ""Зал Хрустальный"", именно ту, которая вокруг Санта-Барбары, переименовать в ""Зал Санта-Барбара"". В прилегающих зонах слова ""(Рест 3эт)"" заменить на ""Санта Барб."".";;;выполнено;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;"Зону ПО 30071 ""Рест Санта-Барбара"" с закладки ""Ресторан Хрустальный 2 эт"" отделить от зоны ПО 30071 ""Рест Санта-Барбара"" с закладки ""Рест Санта-Барбара 3 эт"", переименовать в ""Рест Хрустальный"" и дать ей другой номер(разделить одну зону 2х этажей на 2 разные зоны поэтажно). ИП и ИПР(по периметру зала) расположенные на этаже Хрустального вывести из зоны ""Санта-Барбара"" и закрепить за зоной ресторана Хрустального.";;18.01.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
